Agency name;Country;Link;Players;Players 1st tier;Rumors;Total market value;ø-Market value;Street;ZIP, location;Phone;Fax;Email;Website
HAGMAYR Sportmanagement GmbH;Austria;https://www.transfermarkt.com/berater/beraterfirma?id=160;62;26;2;€38.93m;€628k;Herrenstrasse 8;4020, Linz;+43 732 775375-0;;office@hagmayr-sport.com;http://www.hagmayr-sport.com
LEFT Sports;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=6982;37;19;-;€37.85m;€1.02m;Rua Oscar Freire 1431;05409-010, Sao Paulo;3,9339E+11;;cornacinileonardo@gmail.com;@left.sports
FUTBOL21 AGENCY;Andorra;https://www.transfermarkt.com/berater/beraterfirma?id=7673;35;1;1;€37.65m;€1.08m;-;-;-;-;-;-
Dodici Sports Management;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=266;42;16;2;€37.52m;€893k;-;-;-;-;-;-
ALIK FOOTBALL MANAGEMENT;Ukraine;https://www.transfermarkt.com/berater/beraterfirma?id=4213;49;20;1;€37.44m;€764k;Plekhanivska street,65 , Kharkiv;61000, Kharkiv;-;;-;http://afm-football.com.ua/ru/main
Free Football;Georgia;https://www.transfermarkt.com/berater/beraterfirma?id=8191;12;9;1;€37.38m;€3.11m;Iv.Kereselidze,1;0179, Tbilisi;-;-;info@freefootball.ge;-
MadeinFootball;United Arab Emirates;https://www.transfermarkt.com/berater/beraterfirma?id=3634;74;37;1;€36.80m;€497k;-;-;-;-;-;-
Soccertalk GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=65;32;8;3;€36.48m;€1.14m;-;-;-;-;-;-
MVP United;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=8738;147;22;2;€36.34m;€247k;-;-;+39 320 81 19 868;-;info@mvptheagency.com;www.mvp-united.com
OTB Sports;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=8647;50;16;2;€36.20m;€724k;-;-;-;-;-;-
Tenet Football GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=9067;14;4;4;€36.13m;€2.58m;Friedrich-Ebert-Straße 7;48153, Münster;-;-;info@tenetfootball.com;https://www.tenetfootball.com
Faro Sports;Uruguay;https://www.transfermarkt.com/berater/beraterfirma?id=6320;39;28;-;€36.10m;€926k;-;-;-;-;-;-
Soccer11;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=1611;24;12;-;€35.74m;€1.49m;-;-;-;-;-;-
IMAGESPORT SA;Ecuador;https://www.transfermarkt.com/berater/beraterfirma?id=6501;67;48;-;€35.18m;€525k;AV LOS ARCOS PLAZA;090150, Guayaquil;5,93983E+11;;gerencia@imagesport.com.ec;www.imagesport.com.ec
Friends & Football International LLC;Serbia;https://www.transfermarkt.com/berater/beraterfirma?id=1893;12;9;-;€34.95m;€2.91m;-;11000, Belgrade;-;-;-;-
Scoutpush by Dudu Dahan;Israel;https://www.transfermarkt.com/berater/beraterfirma?id=1385;68;48;2;€34.73m;€511k;-;JERUSALEM TEL AVIV;-;;scoutpush@gmail.com;https://www.scoutpush.com/
Premium Sports Management;France;https://www.transfermarkt.com/berater/beraterfirma?id=7012;22;11;1;€34.25m;€1.56m;-;-;-;-;contact@premiumsports.fr;www.premiumsports.fr
CMA Group;Denmark;https://www.transfermarkt.com/berater/beraterfirma?id=10072;40;26;-;€34.03m;€851k;Langelinieparken 14, 1mf;8000, Aarhus;+45 29259934;-;soren@loevel.com;cmagroup.dk
AIM fútbol;Chile;https://www.transfermarkt.com/berater/beraterfirma?id=7424;79;46;1;€33.80m;€428k;Apoquindo #4775 - Of. 1003, Las Condes;-, Santiago;(+56) 2 2289060;;-;www.aimfutbol.com
Fabio Mello Sports;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=8024;24;6;-;€33.55m;€1.40m;-;-;-;-;-;-
Squadra Management Deportivo;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=8110;29;15;1;€33.45m;€1.15m;-;-;-;-;-;-
Stars & Friends International Holding GmbH;Austria;https://www.transfermarkt.com/berater/beraterfirma?id=10;67;27;3;€33.30m;€497k;Wimpassinger Straße 69;4600, Wels;+421 908 681 098;-;natalia@starsandfriends.sk;http://www.starsandfriends.net
By and For Sport Management;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=7634;13;2;-;€33.30m;€2.56m;-;-;-;-;-;-
Refuel Performance Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=9029;76;8;-;€33.28m;€438k;-;-;-;-;info@refuelperformance.com;www.refuelperformance.com
ESHA Sportmarketing GmbH;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=3051;15;10;1;€33.10m;€2.21m;Algisserstrasse 10;8500, Frauenfeld;41799366000;-;office@eshasport.ch;www.eshasport.ch
Sferico Sports Management;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=5693;46;16;4;€32.30m;€702k;Rua Helena Vieira da Silva;4450-590 , Leça da Palmeira Porto;-;-;mrodrigues@sferico.pt;www.sferico.pt
Shahar Greenberg;Israel;https://www.transfermarkt.com/berater/beraterfirma?id=4739;46;17;4;€32.26m;€701k;-;-;-;-;-;-
fair-sport GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=141;68;11;3;€31.91m;€469k;-;-;-;-;-;-
Eleven Plus;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=10135;32;12;-;€31.90m;€997k;-;-;-;-;-;-
MB Sports;Denmark;https://www.transfermarkt.com/berater/beraterfirma?id=2101;17;13;2;€31.80m;€1.87m;-;-;-;-;-;-
Majestyk Sports Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=10680;9;3;2;€30.93m;€3.44m;-;-;-;-;-;-
HEROE;Japan;https://www.transfermarkt.com/berater/beraterfirma?id=4399;50;24;-;€30.28m;€606k;3-3-8 Mita, Minatoku;108-0073, Tokyo;-;-;contactus@heroe.jp;http://heroe.jp/en/
Quadrans;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=8195;53;16;-;€30.15m;€569k;-;-;-;-;info@quadrans.be;-
TEAM LUKAKU;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=11025;1;1;5;€30.00m;€30.00m;-;-;+32 486 35 73 78;;teamlukaku@crestafirm.com;
TEAM VERMEEREN;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=10267;1;1;-;€30.00m;€30.00m;-;-;+ 32 486 35 73 78;-;teamvermeeren@crestafirm.com;-
feel soccer GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1369;41;12;1;€29.89m;€729k;Klaus-Bungert-Strasse 5a;40468, Düsseldorf;+ 49 (0) 211 98 92 44-74;;info@feelsoccer.com;http://www.feelsoccer.com
Leduar Football;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=9582;10;8;-;€29.89m;€2.99m;-;-;-;-;-;-
Elite Sports Management Agency;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=8723;58;36;2;€29.52m;€509k;-;-;-;-;-;-
Avid Sports & Entertainment Group;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=4959;85;46;1;€29.20m;€344k;-;-;-;-;-;-
WNRS;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=5110;7;3;6;€28.70m;€4.10m;Booths Park, Chelford Road;WA16 8GS, Cheshire;-;-;info@wnrssports.com;www.wnrssports.com
GreenField Agency;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=6359;34;18;1;€28.60m;€841k;Slavonska avenija 6;10000, Zagreb;-;-;info@greenfieldagency.com;www.greenfieldagency.com
FFP Agency;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=10176;7;5;-;€28.60m;€4.09m;-;-;-;-;-;-
G.E.V. Sport&management srl;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=3827;65;5;-;€28.08m;€432k;-;-;-;-;-;-
FullNinety Sports Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=3518;61;18;2;€27.53m;€451k;-;-;-;-;-;-
UruFutbol;Uruguay;https://www.transfermarkt.com/berater/beraterfirma?id=6205;54;29;1;€27.29m;€505k;-;-;-;-;-;-
Emartsoccer;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=4623;133;8;-;€26.73m;€201k;-;-;-;-;-;-
F-F SPORT;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=2650;26;10;1;€26.60m;€1.02m;Etiler Mah. Seheryılıdzı sokak No:22/6;34337, Beşiktaş Istanbul;+90 (0) 212-3527571;;gfazil@f-fsport.com;www.f-fsport.com
BSG GROUP;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=5543;12;4;1;€26.60m;€2.22m;Avenida das Comunidas Lusidas;8500, Portimao;00351 935 622 356;;info@groupebinary.com;
FGM Uruguay;Uruguay;https://www.transfermarkt.com/berater/beraterfirma?id=9753;37;19;-;€26.28m;€710k;-;-;-;-;-;-
Karl M. Herzog Sportmanagement;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=76;53;10;-;€25.88m;€488k;Klaußnerweg 6;82061, Neuried b München;+49 (0)89-72458696;;karlmherzog@yahoo.de;www.kmhsport.de
LITCHI AG;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=9366;14;7;-;€25.55m;€1.83m;Talstrasse 35;8808, Pfäffikon SZ;-;;info@litchi.ch;
Sportbusiness Uruguay SRL;Uruguay;https://www.transfermarkt.com/berater/beraterfirma?id=8002;33;28;-;€25.35m;€768k;-;-;-;-;-;-
El Khannouss Team;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=11836;1;1;3;€25.00m;€25.00m;Hendrik Drapsstraat 13;1853, Grimbergen;32495113325;;bks.management@outlook.com;
Soccer and more Ltd.;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=496;139;6;5;€24.84m;€179k;Hauptstraße 45;66130, Saarbrücken;-;;info@soccerandmore.org;http://www.soccerandmore.org
Footuro AG;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=313;33;10;-;€24.58m;€745k;Nüschelerstrasse 45;CH-8001, Zürich;+41 44 227 14 50;;contact@footuro.com;www.footuro.com
AGN Football;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=2872;26;11;-;€24.33m;€936k;-;Porto Alegre;+55 51 99627-8193;-;info@agnfootball.com;www.agnfootball.com
Carmenta;France;https://www.transfermarkt.com/berater/beraterfirma?id=3969;13;3;1;€24.13m;€1.86m;-;-;-;-;-;
Apertura Sports GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1193;44;16;-;€24.08m;€547k;Marienstr. 37;70178, Stuttgart;+49 (0)7121-51536633;-;backoffice@apertura-sports.com;www.apertura-sports.com
Teranga Sports Management;France;https://www.transfermarkt.com/berater/beraterfirma?id=11120;2;2;-;€24.00m;€12.00m;-;-;-;-;management@terangasports.sn;-
INNfootball;Poland;https://www.transfermarkt.com/berater/beraterfirma?id=2615;71;34;8;€23.60m;€332k;-;Warszawa;+48 601371977;;contact@innfootball.co;www.innfootball.co
HC;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=6696;7;4;-;€23.50m;€3.36m;-;-;-;-;-;-
Prodigy Players;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=4076;55;10;-;€23.50m;€427k;-;-;-;-;-;-
Scuderia;France;https://www.transfermarkt.com/berater/beraterfirma?id=4948;26;8;-;€23.30m;€896k;-;-;-;-;-;-
P.P.M. - Professional and Personal Management;France;https://www.transfermarkt.com/berater/beraterfirma?id=3811;17;7;3;€22.55m;€1.33m;-;-;-;-;-;-
Kick&Run Sportsmanagement;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1865;11;2;3;€22.30m;€2.03m;-;-;-;-;-;-
SportsMaxi Management;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=3953;16;7;-;€22.10m;€1.38m;-;-;-;-;-;-
SCOUTFUTBOL;Uruguay;https://www.transfermarkt.com/berater/beraterfirma?id=8561;56;34;1;€22.10m;€395k;-;-;-;-;-;-
Trust Sports Consultoria Esportiva Ltda;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=5907;22;9;-;€21.95m;€998k;-;-;+55 11 991329046;-;fernando@trustfootball.com;-
Ergezen Menajerlik & Danışmanlık;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=5880;6;4;-;€21.80m;€3.63m;Seba Office Boulevard Ayazağa Mah. Mimar Sinan Sok. 21/5;34396, Sarıyer İstanbul;9,02128E+11;;necdetergezen@pmh.com.tr;www.pmh.com.tr
ISM International Soccer Management Holding GmbH & Co. KG;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=79;30;5;-;€21.78m;€726k;Königsallee 60;40212, Düsseldorf;+49 211 30039000;;ism@ismweb.de;http://www.ismweb.de
ARGENTUM SPORT;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=3850;33;25;-;€21.68m;€657k;-;-;-;-;-;www.argentumsport.com
Global Football Management;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=12051;31;15;3;€21.60m;€697k;Zutphenseweg 31 a-2;7418 AH, Deventer;+31 6 51900362;-;info@gf-management.nl;www.globalfootballmanagement.com
BestFoot FM;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=3739;78;4;3;€21.55m;€276k;-;-;-;-;-;-
Alpha sports Management Ltd.;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=6076;31;16;-;€21.20m;€684k;-;-;-;-;-;-
PCR Sports & Management Lda;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=10158;10;4;-;€21.00m;€2.10m;-;-;-;;-;
BOIM FOOTBALL BOUTIQUE;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=11470;10;5;2;€20.85m;€2.09m;CALLE SANTA ENGRACIA, 32;28010, MADRID;34661704000;;obf10@hotmail.com;
Paco Casal;Uruguay;https://www.transfermarkt.com/berater/beraterfirma?id=5631;8;5;-;€20.85m;€2.61m;-;-;-;-;-;-
INSUA GROUP;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=4545;54;23;-;€20.83m;€386k;INSUA DEPORTIVA SL;Madrid;-;;contacto@insua.group;https://www.instagram.com/insuagroup/?hl=es
Global Ases;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=3014;62;5;-;€20.83m;€336k;-;-;-;-;-;-
LIFEPRO;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=4357;31;7;-;€20.60m;€665k;Av. das Américas 3500, Bl. 3 Toronto 2000, Sala 401;22640112, Rio de Janeiro CEP;+5521 986976211;-;operacional@lifepro.com.br;www.lifepro.com.br
FAMILY FOOTBALL;Serbia;https://www.transfermarkt.com/berater/beraterfirma?id=9928;19;15;-;€20.53m;€1.08m;-;Belgrade;38166222220;-;familyfootballserbia@gmail.com;-
EL C1EL0 Management;Mexico;https://www.transfermarkt.com/berater/beraterfirma?id=7675;60;35;1;€20.31m;€339k;Alfonso Reyes 23;Ciudad de México;+353 83 805 0228;-;contacto@elcielomanagement.com;https://elcielomanagement.com/
Wesport Football;Sweden;https://www.transfermarkt.com/berater/beraterfirma?id=8440;63;25;1;€20.21m;€321k;Biblioteksgatan 8;111 46, Stockholm;-;-;football@wesport.se;http://www.wesport.se/
GR Martinez Assessoria e Propaganda Esportiva Ltda;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=1514;40;11;1;€20.18m;€504k;Avenida Brigadeiro Faria Lima 2927, 6° andar;01452-000, São Paulo;+55 11 5536-4555;;grsport@live.com;https://wa.me/5511987978818
B1G Talent;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=5080;20;11;1;€20.13m;€1.01m;Calle Serrano, 33;Madrid;-;;info@b1gtalent.com;
Konstantinos Farras;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1410;10;4;-;€20.00m;€2.00m;-;-;+49-0421/433 31 87;;fksports@mail.de;
LIOS Sports GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=11374;1;1;-;€20.00m;€20.00m;Nisblestraße, 50;13127, Berlin;4,91723E+11;-;info@lios-sports.com;-
KSM Sports;France;https://www.transfermarkt.com/berater/beraterfirma?id=11918;1;1;1;€20.00m;€20.00m;-;-;-;-;-;-
SA-Football Agency;Russia;https://www.transfermarkt.com/berater/beraterfirma?id=2119;45;3;2;€19.08m;€424k;-;-;-;-;-;-
Gonzalo Vargas - SportCapital EC;Ecuador;https://www.transfermarkt.com/berater/beraterfirma?id=6249;19;18;-;€19.00m;€1.00m;Guayaquil;390150;-;.;info@sportcapital.ec;https://sportcapital.ec
Pablo Bueno 360;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=8447;2;2;-;€19.00m;€9.50m;-;-;-;-;-;-
Andrey Talaev Sports Agency;Russia;https://www.transfermarkt.com/berater/beraterfirma?id=6957;72;9;-;€18.48m;€257k;-;-;-;-;-;-
Sportsbloom;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=4314;19;7;1;€18.38m;€967k;-;-;-;-;-;-
TM AGENCY;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=8661;30;6;5;€18.20m;€607k;-;-;-;-;-;-
Westland Group;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=8063;67;48;-;€17.95m;€268k;-;-;-;-;-;-
FIA Football - Management & Consultancy;United Arab Emirates;https://www.transfermarkt.com/berater/beraterfirma?id=5084;21;4;-;€17.88m;€851k;-;-;-;-;-;-
GROW;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=2949;26;15;3;€17.65m;€679k;-;-;-;-;-;-
Playeleven;Malta;https://www.transfermarkt.com/berater/beraterfirma?id=4695;26;14;-;€17.50m;€673k;116 San Juan, St. Geroges Street;ST J3 22-3, Saint Julians;0033 669 301313;-;info@playeleven.net;https://playeleven.net
Luis Grillo y Asociados;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=1539;44;16;-;€17.47m;€397k;-;-;-;-;-;-
Revival Football;Mexico;https://www.transfermarkt.com/berater/beraterfirma?id=11596;29;9;-;€17.41m;€600k;JUAN SALVADOR AGRAZ 97 PISO 10 EDIFICIO PARAGON 1004;05348, CUAJIMALPA DE MORELOS;56993048849;;ggonzalez@revivalfootball.com;https://revivalfootball.com
11-Football Players;United Arab Emirates;https://www.transfermarkt.com/berater/beraterfirma?id=5441;149;23;5;€17.40m;€117k;-;-;-;-;-;-
R13 Fussball Agenciamento Esportivo LTDA;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=5328;43;13;-;€17.18m;€399k;-;-;-;-;-;-
SBB Global;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=10591;30;11;-;€17.15m;€572k;-;-;32489320323;-;contact@sbbglobal.co;SBB Global
Pro Foot Consulting;France;https://www.transfermarkt.com/berater/beraterfirma?id=6865;56;45;-;€17.08m;€305k;-;-;33769505771;;contact@profootconsulting.com;www.profootconsulting.com
YSI Football Developers;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=4114;37;19;1;€16.98m;€459k;-;-;+31 6 463 126 36;;info@ysifootball.com;-
Love Players;Bulgaria;https://www.transfermarkt.com/berater/beraterfirma?id=5711;55;29;3;€16.93m;€308k;-;-;3,85912E+11;-;velibor@love-players.com;-
Websoccer do Brasil Ltda;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=9908;34;15;-;€16.83m;€495k;-;-;5,51199E+12;-;diogo@websoccer.com.br;-
Fisher Sport Ltd;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=2880;77;31;1;€16.76m;€218k;-;-;-;-;-;-
Lupus Sportmanagement;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=5775;14;6;1;€16.68m;€1.19m;-;-;-;-;-;-
General Sports Worldwide;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=9080;51;1;-;€16.65m;€326k;1 Kingsway;WC2B 6AT, London;-;-;josh@gseurope.co.uk;https://generalsportsworldwide.com/
STV - Soccer Talents Vision;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=6172;8;5;5;€16.55m;€2.07m;-;-;-;-;-;-
management 360;France;https://www.transfermarkt.com/berater/beraterfirma?id=4597;7;2;1;€16.55m;€2.36m;-;-;-;-;-;-
BE Sport Management S.r.l.;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=9953;2;1;-;€16.15m;€8.08m;-;-;-;-;-;-
NGA Sport;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=8473;18;7;1;€16.10m;€894k;-;-;-;-;-;-
Sebastian Olivieri - RPM Foot;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=4460;38;29;1;€15.98m;€420k;-;-;-;-;-;-
Aleksandr Perepechko;Belarus;https://www.transfermarkt.com/berater/beraterfirma?id=6425;79;53;-;€15.95m;€202k;-;-;-;-;-;-
FOOTALENT;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=4097;29;8;2;€15.88m;€547k;Bagdat Caddesi No312 D:36 K:4 Caddebostan Kadikoy;34728 , Istanbul;-;;info@footalent.com.tr;http://www.footalent.com.tr
RELC SPORTS INC.;Panama;https://www.transfermarkt.com/berater/beraterfirma?id=4063;35;26;-;€15.86m;€453k;-;-;-;-;-;-
Euro Soccer Advice;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=147;38;16;-;€15.71m;€413k;Rondebeltweg 16;1329 BA, Almere;31362002310;-;info@eurosocceradvice.com;www.eurosocceradvice.com
GloBall Group;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=6977;12;3;-;€15.70m;€1.31m;-;-;-;-;-;-
International Sport Group SAS;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=5007;20;15;1;€15.65m;€783k;-;-;-;-;-;-
BFM - Bode Football Management;Albania;https://www.transfermarkt.com/berater/beraterfirma?id=2190;27;21;1;€15.60m;€578k;L. Qesarakë, Rr. Dalip Topi, P. Zaimaj, Ap. 22-25;L81805050N, Tirana;3,55693E+11;;info@bfm.al;http://www.bfm.al
